Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Swati Desai,Pediatrics,13,2027-06-27,Metro Hospital,New Delhi,97,296,0.73,0
Dr. Rohit Verma,Orthopedics,16,2027-06-28,Metro Hospital,New Delhi,63,235,0.7,0
Dr. Swati Desai,Dermatology,12,2027-06-29,City Hospital,New Delhi,72,137,0.63,0
Dr. Ravi Kumar,Pediatrics,15,2027-06-30,City Hospital,Chennai,82,383,0.95,0
Dr. Ravi Kumar,Dermatology,8,2027-07-01,Metro Hospital,New Delhi,89,201,0.84,0
Dr. Ravi Kumar,Dermatology,12,2027-07-02,City Hospital,Chennai,11,316,1.32,0
Dr. Ravi Kumar,Cardiology,17,2027-07-03,City Hospital,Kolkata,44,249,0.99,0
Dr. Anil Mehra,Dermatology,8,2027-07-04,Metro Hospital,Mumbai,31,432,1.11,0
Dr. Ravi Kumar,Cardiology,17,2027-07-05,Govt Health Center,Chennai,92,477,1.91,0
Dr. Anil Mehra,Orthopedics,13,2027-07-06,Govt Health Center,Mumbai,73,384,0.73,0
Dr. Anil Mehra,Orthopedics,14,2027-07-07,Metro Hospital,Kolkata,68,295,1.08,1
Dr. Ravi Kumar,Cardiology,12,2027-07-08,Govt Health Center,New Delhi,58,499,0.89,0
Dr. Ravi Kumar,Dermatology,8,2027-07-09,Metro Hospital,Mumbai,61,265,1.32,1
Dr. Rohit Verma,Pediatrics,13,2027-07-10,Metro Hospital,Mumbai,30,478,1.6,0
Dr. Swati Desai,Pediatrics,17,2027-07-11,City Hospital,Kolkata,21,123,1.73,1
Dr. Ravi Kumar,Cardiology,12,2027-07-12,Govt Health Center,Kolkata,20,209,1.27,1
Dr. Rohit Verma,Orthopedics,13,2027-07-13,Metro Hospital,Kolkata,63,304,1.78,0
Dr. Rohit Verma,Orthopedics,17,2027-07-14,Govt Health Center,Chennai,92,66,1.68,1
Dr. Swati Desai,Pediatrics,14,2027-07-15,Govt Health Center,Chennai,79,487,0.74,0
Dr. Anil Mehra,Cardiology,14,2027-07-16,Govt Health Center,Mumbai,23,187,0.87,0
Dr. Ravi Kumar,Pediatrics,9,2027-07-17,Metro Hospital,Kolkata,42,55,1.51,1
Dr. Swati Desai,Dermatology,10,2027-07-18,City Hospital,Mumbai,86,268,1.96,1
Dr. Ravi Kumar,Dermatology,13,2027-07-19,Govt Health Center,New Delhi,35,453,1.06,0
Dr. Rohit Verma,Cardiology,10,2027-07-20,Metro Hospital,Kolkata,23,50,0.84,0
Dr. Rohit Verma,Cardiology,9,2027-07-21,Govt Health Center,Chennai,97,113,1.8,1
Dr. Anil Mehra,Dermatology,11,2027-07-22,City Hospital,Kolkata,57,258,0.8,0
Dr. Rohit Verma,Orthopedics,12,2027-07-23,Govt Health Center,Mumbai,74,50,1.55,1
Dr. Rohit Verma,Cardiology,17,2027-07-24,Metro Hospital,Chennai,55,406,0.55,0
Dr. Swati Desai,Dermatology,16,2027-07-25,Govt Health Center,New Delhi,64,238,0.53,0
Dr. Ravi Kumar,Dermatology,10,2027-07-26,Govt Health Center,New Delhi,83,296,1.18,1
Dr. Ravi Kumar,Orthopedics,10,2027-07-27,Govt Health Center,Mumbai,83,306,1.48,0
Dr. Swati Desai,Orthopedics,13,2027-07-28,City Hospital,Kolkata,77,223,0.71,0
Dr. Anil Mehra,Orthopedics,12,2027-07-29,Govt Health Center,New Delhi,87,158,1.65,1
Dr. Ravi Kumar,Orthopedics,13,2027-07-30,Metro Hospital,Mumbai,21,109,0.69,0
Dr. Rohit Verma,Pediatrics,14,2027-07-31,Govt Health Center,Chennai,63,92,1.3,1
Dr. Ravi Kumar,Orthopedics,10,2027-08-01,Govt Health Center,Chennai,73,477,0.96,0
Dr. Rohit Verma,Pediatrics,12,2027-08-02,Govt Health Center,Mumbai,56,87,1.63,1
Dr. Anil Mehra,Cardiology,15,2027-08-03,City Hospital,Kolkata,46,412,1.71,0
Dr. Swati Desai,Dermatology,11,2027-08-04,Metro Hospital,Kolkata,83,307,0.6,0
Dr. Ravi Kumar,Pediatrics,17,2027-08-05,Govt Health Center,Kolkata,50,131,0.79,0
Dr. Swati Desai,Cardiology,9,2027-08-06,Metro Hospital,Kolkata,36,445,1.84,0
Dr. Ravi Kumar,Cardiology,11,2027-08-07,Metro Hospital,Mumbai,51,270,1.12,1
Dr. Rohit Verma,Pediatrics,9,2027-08-08,City Hospital,Mumbai,85,456,1.22,0
Dr. Swati Desai,Cardiology,10,2027-08-09,Metro Hospital,Chennai,95,160,0.75,0
Dr. Ravi Kumar,Cardiology,11,2027-08-10,Govt Health Center,Chennai,77,314,1.99,0
Dr. Rohit Verma,Pediatrics,11,2027-08-11,City Hospital,Kolkata,38,185,1.88,1
Dr. Swati Desai,Cardiology,17,2027-08-12,City Hospital,New Delhi,45,483,0.5,0
Dr. Swati Desai,Orthopedics,16,2027-08-13,Metro Hospital,New Delhi,66,385,1.33,0
Dr. Ravi Kumar,Orthopedics,17,2027-08-14,City Hospital,Chennai,87,367,1.81,0
Dr. Ravi Kumar,Dermatology,13,2027-08-15,Metro Hospital,Chennai,21,72,1.15,1
Dr. Ravi Kumar,Cardiology,16,2027-08-16,Metro Hospital,Mumbai,54,398,1.16,0
Dr. Rohit Verma,Dermatology,11,2027-08-17,City Hospital,Chennai,29,108,1.07,1
Dr. Ravi Kumar,Orthopedics,16,2027-08-18,Govt Health Center,Chennai,54,315,0.54,0
Dr. Swati Desai,Orthopedics,16,2027-08-19,Metro Hospital,Kolkata,32,189,1.69,1
Dr. Swati Desai,Orthopedics,13,2027-08-20,City Hospital,New Delhi,71,495,1.19,0
Dr. Ravi Kumar,Cardiology,12,2027-08-21,City Hospital,New Delhi,95,430,1.3,0
Dr. Ravi Kumar,Cardiology,10,2027-08-22,Metro Hospital,Mumbai,43,165,0.88,0
Dr. Anil Mehra,Orthopedics,12,2027-08-23,Metro Hospital,New Delhi,30,253,1.68,1
Dr. Swati Desai,Dermatology,10,2027-08-24,Metro Hospital,Kolkata,60,207,1.69,1
Dr. Rohit Verma,Dermatology,12,2027-08-25,Metro Hospital,Kolkata,18,379,1.33,0
Dr. Anil Mehra,Pediatrics,12,2027-08-26,Govt Health Center,Mumbai,83,245,1.86,1
Dr. Ravi Kumar,Orthopedics,9,2027-08-27,Govt Health Center,Chennai,19,480,0.67,0
Dr. Ravi Kumar,Dermatology,16,2027-08-28,Govt Health Center,Chennai,61,261,1.68,1
Dr. Swati Desai,Orthopedics,14,2027-08-29,Govt Health Center,Kolkata,54,90,1.34,1
Dr. Ravi Kumar,Dermatology,13,2027-08-30,City Hospital,Mumbai,61,408,0.85,0
Dr. Rohit Verma,Pediatrics,12,2027-08-31,Metro Hospital,Kolkata,39,56,0.7,0
Dr. Swati Desai,Pediatrics,11,2027-09-01,City Hospital,New Delhi,73,399,0.95,0
Dr. Ravi Kumar,Orthopedics,15,2027-09-02,City Hospital,New Delhi,11,421,1.78,0
Dr. Swati Desai,Dermatology,9,2027-09-03,Govt Health Center,Kolkata,58,154,1.68,1
Dr. Ravi Kumar,Cardiology,15,2027-09-04,City Hospital,Chennai,54,357,1.47,0
Dr. Ravi Kumar,Pediatrics,8,2027-09-05,Govt Health Center,New Delhi,26,94,0.64,0
Dr. Ravi Kumar,Orthopedics,17,2027-09-06,Metro Hospital,Mumbai,37,87,1.93,1
Dr. Rohit Verma,Orthopedics,8,2027-09-07,Govt Health Center,Chennai,54,213,0.96,0
Dr. Rohit Verma,Dermatology,10,2027-09-08,Metro Hospital,New Delhi,26,130,1.41,1
Dr. Swati Desai,Orthopedics,12,2027-09-09,Govt Health Center,Kolkata,68,390,1.7,0
Dr. Ravi Kumar,Pediatrics,13,2027-09-10,City Hospital,Chennai,23,107,0.7,0
Dr. Ravi Kumar,Orthopedics,11,2027-09-11,City Hospital,Chennai,19,351,1.48,0
Dr. Rohit Verma,Orthopedics,14,2027-09-12,Govt Health Center,New Delhi,87,172,0.55,0
Dr. Ravi Kumar,Cardiology,14,2027-09-13,Metro Hospital,Mumbai,90,244,0.65,0
Dr. Rohit Verma,Cardiology,9,2027-09-14,Metro Hospital,New Delhi,95,242,1.58,1
Dr. Ravi Kumar,Pediatrics,9,2027-09-15,Govt Health Center,New Delhi,27,451,0.73,0
Dr. Swati Desai,Dermatology,9,2027-09-16,City Hospital,New Delhi,44,435,1.17,0
Dr. Ravi Kumar,Cardiology,9,2027-09-17,Metro Hospital,New Delhi,57,153,0.87,0
Dr. Ravi Kumar,Dermatology,16,2027-09-18,Govt Health Center,New Delhi,67,161,1.13,1
Dr. Anil Mehra,Pediatrics,12,2027-09-19,Metro Hospital,Kolkata,27,181,0.62,0
Dr. Rohit Verma,Cardiology,15,2027-09-20,City Hospital,New Delhi,61,145,1.63,1
Dr. Ravi Kumar,Dermatology,12,2027-09-21,Metro Hospital,Mumbai,39,132,0.62,0
Dr. Ravi Kumar,Cardiology,12,2027-09-22,Govt Health Center,Chennai,46,219,1.76,1
Dr. Anil Mehra,Pediatrics,8,2027-09-23,Metro Hospital,Kolkata,49,98,1.49,1
Dr. Anil Mehra,Pediatrics,13,2027-09-24,Metro Hospital,Mumbai,15,482,1.12,0
Dr. Rohit Verma,Cardiology,11,2027-09-25,City Hospital,New Delhi,88,422,1.8,0
Dr. Anil Mehra,Dermatology,10,2027-09-26,City Hospital,Mumbai,44,184,0.78,0
Dr. Swati Desai,Orthopedics,13,2027-09-27,City Hospital,Chennai,35,314,0.9,0
Dr. Anil Mehra,Orthopedics,9,2027-09-28,City Hospital,Mumbai,39,248,0.71,0
Dr. Swati Desai,Cardiology,15,2027-09-29,Govt Health Center,New Delhi,84,332,1.07,0
Dr. Rohit Verma,Dermatology,8,2027-09-30,Metro Hospital,Chennai,33,454,1.98,0
Dr. Rohit Verma,Orthopedics,16,2027-10-01,Metro Hospital,New Delhi,64,84,0.74,0
Dr. Rohit Verma,Pediatrics,15,2027-10-02,Metro Hospital,New Delhi,87,393,1.75,0
Dr. Rohit Verma,Dermatology,8,2027-10-03,Metro Hospital,Kolkata,96,253,1.48,1
Dr. Rohit Verma,Orthopedics,17,2027-10-04,Govt Health Center,Chennai,18,469,0.52,0
Dr. Swati Desai,Dermatology,16,2027-10-05,City Hospital,Chennai,71,290,1.92,1
Dr. Swati Desai,Cardiology,9,2027-10-06,Metro Hospital,New Delhi,27,398,1.96,0
Dr. Rohit Verma,Dermatology,10,2027-10-07,Metro Hospital,Mumbai,60,372,1.89,0
Dr. Anil Mehra,Orthopedics,9,2027-10-08,City Hospital,Chennai,28,92,1.25,1
Dr. Ravi Kumar,Cardiology,15,2027-10-09,City Hospital,Mumbai,78,313,0.83,0
Dr. Rohit Verma,Dermatology,9,2027-10-10,Metro Hospital,Mumbai,91,426,1.09,0
Dr. Anil Mehra,Pediatrics,17,2027-10-11,City Hospital,Chennai,42,127,1.42,1
Dr. Ravi Kumar,Orthopedics,9,2027-10-12,Metro Hospital,Mumbai,47,85,1.07,1
Dr. Rohit Verma,Cardiology,8,2027-10-13,Metro Hospital,Chennai,22,432,1.56,0
Dr. Rohit Verma,Dermatology,14,2027-10-14,Metro Hospital,Kolkata,58,353,1.69,0
Dr. Swati Desai,Pediatrics,9,2027-10-15,Metro Hospital,Chennai,82,223,0.81,0
Dr. Ravi Kumar,Orthopedics,17,2027-10-16,Metro Hospital,Chennai,99,465,1.11,0
Dr. Ravi Kumar,Pediatrics,12,2027-10-17,Metro Hospital,Chennai,62,184,1.94,1
Dr. Anil Mehra,Dermatology,12,2027-10-18,City Hospital,Kolkata,10,379,0.87,0
Dr. Swati Desai,Dermatology,10,2027-10-19,Govt Health Center,Mumbai,21,189,1.02,1
Dr. Swati Desai,Cardiology,10,2027-10-20,Govt Health Center,Kolkata,33,104,0.55,0
Dr. Swati Desai,Pediatrics,10,2027-10-21,Metro Hospital,Mumbai,10,301,1,0
Dr. Swati Desai,Cardiology,13,2027-10-22,City Hospital,Chennai,77,328,1.06,0
Dr. Ravi Kumar,Orthopedics,11,2027-10-23,Metro Hospital,Chennai,16,229,0.65,0
Dr. Ravi Kumar,Cardiology,10,2027-10-24,City Hospital,Kolkata,78,62,0.5,0
Dr. Rohit Verma,Orthopedics,9,2027-10-25,Metro Hospital,Kolkata,48,253,1.36,1
Dr. Rohit Verma,Dermatology,10,2027-10-26,Metro Hospital,Kolkata,41,358,0.95,0
Dr. Swati Desai,Dermatology,11,2027-10-27,Govt Health Center,Kolkata,58,112,0.53,0
Dr. Swati Desai,Pediatrics,13,2027-10-28,City Hospital,Chennai,40,123,1.79,1
Dr. Swati Desai,Orthopedics,11,2027-10-29,City Hospital,Chennai,88,356,1.38,0
Dr. Rohit Verma,Dermatology,15,2027-10-30,Govt Health Center,New Delhi,12,491,0.76,0
Dr. Anil Mehra,Pediatrics,10,2027-10-31,Govt Health Center,Kolkata,56,204,1.8,1
Dr. Anil Mehra,Pediatrics,10,2027-11-01,Govt Health Center,Kolkata,24,56,0.88,0
Dr. Rohit Verma,Cardiology,10,2027-11-02,Govt Health Center,Mumbai,60,424,0.84,0
Dr. Rohit Verma,Pediatrics,15,2027-11-03,City Hospital,Mumbai,91,355,1.84,0
Dr. Rohit Verma,Dermatology,11,2027-11-04,City Hospital,Chennai,94,457,0.77,0
Dr. Rohit Verma,Cardiology,8,2027-11-05,Govt Health Center,New Delhi,83,392,1.82,0
Dr. Rohit Verma,Orthopedics,9,2027-11-06,Metro Hospital,Kolkata,30,202,1.7,1
Dr. Rohit Verma,Orthopedics,17,2027-11-07,Metro Hospital,New Delhi,99,93,0.96,0
Dr. Swati Desai,Dermatology,9,2027-11-08,Metro Hospital,New Delhi,50,85,0.55,0
Dr. Swati Desai,Dermatology,10,2027-11-09,Metro Hospital,Chennai,12,490,0.62,0
Dr. Swati Desai,Cardiology,13,2027-11-10,City Hospital,New Delhi,10,146,0.66,0
Dr. Swati Desai,Cardiology,15,2027-11-11,City Hospital,Kolkata,30,214,1.84,1
Dr. Rohit Verma,Dermatology,8,2027-11-12,City Hospital,Chennai,84,283,1.11,1
Dr. Anil Mehra,Dermatology,16,2027-11-13,Metro Hospital,New Delhi,89,152,0.55,0
Dr. Ravi Kumar,Orthopedics,8,2027-11-14,Govt Health Center,Chennai,30,485,1.33,0
Dr. Rohit Verma,Orthopedics,17,2027-11-15,Metro Hospital,Chennai,84,430,0.81,0
Dr. Ravi Kumar,Orthopedics,9,2027-11-16,City Hospital,Mumbai,58,496,0.85,0
Dr. Anil Mehra,Dermatology,10,2027-11-17,Metro Hospital,Chennai,74,56,0.74,0
Dr. Swati Desai,Pediatrics,14,2027-11-18,Govt Health Center,New Delhi,50,143,1.64,1
Dr. Anil Mehra,Dermatology,16,2027-11-19,Govt Health Center,Mumbai,76,493,0.5,0
Dr. Rohit Verma,Dermatology,10,2027-11-20,Metro Hospital,Kolkata,51,170,1.16,1
Dr. Swati Desai,Orthopedics,15,2027-11-21,City Hospital,Kolkata,78,414,0.63,0
Dr. Rohit Verma,Dermatology,16,2027-11-22,City Hospital,Kolkata,66,86,1.33,1
Dr. Swati Desai,Cardiology,17,2027-11-23,City Hospital,Kolkata,52,70,1.02,1
Dr. Ravi Kumar,Dermatology,14,2027-11-24,Metro Hospital,Kolkata,21,147,0.54,0
Dr. Ravi Kumar,Dermatology,11,2027-11-25,City Hospital,New Delhi,87,351,1.19,0
Dr. Ravi Kumar,Dermatology,11,2027-11-26,Metro Hospital,Chennai,73,70,1.36,1
Dr. Anil Mehra,Dermatology,11,2027-11-27,City Hospital,Mumbai,60,281,0.87,0
Dr. Rohit Verma,Pediatrics,13,2027-11-28,Govt Health Center,Chennai,82,403,1.65,0
Dr. Anil Mehra,Dermatology,11,2027-11-29,Govt Health Center,Chennai,69,121,1.06,1
Dr. Ravi Kumar,Cardiology,12,2027-11-30,City Hospital,New Delhi,80,401,1.62,0
Dr. Rohit Verma,Cardiology,16,2027-12-01,Metro Hospital,New Delhi,89,101,1.37,1
Dr. Ravi Kumar,Dermatology,14,2027-12-02,City Hospital,New Delhi,37,271,1.8,1
Dr. Anil Mehra,Orthopedics,15,2027-12-03,Metro Hospital,Mumbai,80,334,1.32,0
Dr. Anil Mehra,Pediatrics,12,2027-12-04,Govt Health Center,New Delhi,23,374,0.78,0
Dr. Anil Mehra,Dermatology,12,2027-12-05,Metro Hospital,Chennai,41,216,1.73,1
Dr. Ravi Kumar,Dermatology,14,2027-12-06,City Hospital,Mumbai,17,332,1.67,0
Dr. Rohit Verma,Dermatology,15,2027-12-07,Govt Health Center,New Delhi,36,254,1.96,1
Dr. Rohit Verma,Orthopedics,16,2027-12-08,Metro Hospital,New Delhi,59,416,0.64,0
Dr. Ravi Kumar,Orthopedics,9,2027-12-09,Metro Hospital,New Delhi,68,187,1.39,1
Dr. Rohit Verma,Orthopedics,10,2027-12-10,Govt Health Center,Chennai,66,85,1.24,1
Dr. Ravi Kumar,Pediatrics,9,2027-12-11,City Hospital,New Delhi,12,144,1.51,1
Dr. Rohit Verma,Cardiology,17,2027-12-12,Govt Health Center,Chennai,36,65,1.97,1
Dr. Swati Desai,Pediatrics,14,2027-12-13,City Hospital,Mumbai,43,286,1.3,1
Dr. Swati Desai,Orthopedics,9,2027-12-14,City Hospital,New Delhi,35,213,1.53,1
Dr. Anil Mehra,Cardiology,9,2027-12-15,Metro Hospital,Kolkata,49,139,1.02,1
Dr. Swati Desai,Cardiology,9,2027-12-16,City Hospital,Kolkata,95,157,0.95,0
Dr. Swati Desai,Orthopedics,11,2027-12-17,City Hospital,Chennai,41,133,1,0
Dr. Swati Desai,Orthopedics,8,2027-12-18,Govt Health Center,New Delhi,50,304,0.56,0
Dr. Ravi Kumar,Pediatrics,9,2027-12-19,Govt Health Center,New Delhi,11,467,0.93,0
Dr. Swati Desai,Orthopedics,10,2027-12-20,City Hospital,Kolkata,81,214,0.76,0
Dr. Swati Desai,Cardiology,14,2027-12-21,Metro Hospital,Mumbai,16,249,1.19,1
Dr. Anil Mehra,Dermatology,17,2027-12-22,Govt Health Center,Mumbai,28,373,1.19,0
Dr. Swati Desai,Orthopedics,8,2027-12-23,Metro Hospital,Chennai,42,364,1.65,0
Dr. Swati Desai,Orthopedics,13,2027-12-24,Govt Health Center,Kolkata,11,206,1.25,1
Dr. Rohit Verma,Pediatrics,10,2027-12-25,Govt Health Center,Chennai,76,80,1.19,1
Dr. Anil Mehra,Pediatrics,10,2027-12-26,City Hospital,Chennai,87,115,0.85,0
Dr. Anil Mehra,Orthopedics,11,2027-12-27,Govt Health Center,Mumbai,24,138,1.78,1
Dr. Anil Mehra,Cardiology,11,2027-12-28,Govt Health Center,Kolkata,30,308,0.64,0
Dr. Anil Mehra,Cardiology,14,2027-12-29,Metro Hospital,Chennai,87,302,1.97,0
Dr. Anil Mehra,Dermatology,10,2027-12-30,Govt Health Center,Mumbai,68,283,1.21,1
Dr. Anil Mehra,Orthopedics,15,2027-12-31,Govt Health Center,Mumbai,91,156,0.78,0
Dr. Ravi Kumar,Pediatrics,15,2028-01-01,Metro Hospital,New Delhi,48,118,1.03,1
Dr. Swati Desai,Cardiology,14,2028-01-02,City Hospital,Kolkata,29,327,0.52,0
Dr. Anil Mehra,Dermatology,9,2028-01-03,City Hospital,Kolkata,10,385,0.75,0
Dr. Swati Desai,Orthopedics,12,2028-01-04,Govt Health Center,New Delhi,82,250,1,0
Dr. Swati Desai,Cardiology,13,2028-01-05,Govt Health Center,Chennai,18,102,1.33,1
Dr. Ravi Kumar,Orthopedics,17,2028-01-06,Metro Hospital,Mumbai,60,481,0.69,0
Dr. Anil Mehra,Orthopedics,11,2028-01-07,City Hospital,Mumbai,47,290,1.51,1
Dr. Rohit Verma,Cardiology,17,2028-01-08,City Hospital,Mumbai,24,381,1.77,0
Dr. Ravi Kumar,Cardiology,12,2028-01-09,City Hospital,New Delhi,93,224,1.36,1
Dr. Rohit Verma,Cardiology,16,2028-01-10,Metro Hospital,Mumbai,50,91,0.95,0
Dr. Swati Desai,Orthopedics,14,2028-01-11,Metro Hospital,Chennai,56,309,0.68,0
Dr. Swati Desai,Orthopedics,9,2028-01-12,Metro Hospital,Chennai,35,418,0.52,0
Dr. Ravi Kumar,Dermatology,8,2028-01-13,Govt Health Center,New Delhi,63,259,1.6,1
Dr. Ravi Kumar,Pediatrics,9,2028-01-14,City Hospital,Chennai,79,91,1.44,1
Dr. Rohit Verma,Orthopedics,10,2028-01-15,Govt Health Center,Kolkata,48,476,1.21,0
Dr. Anil Mehra,Pediatrics,9,2028-01-16,Govt Health Center,Kolkata,26,402,0.65,0
Dr. Rohit Verma,Cardiology,10,2028-01-17,Metro Hospital,Mumbai,79,219,0.81,0
Dr. Ravi Kumar,Orthopedics,17,2028-01-18,City Hospital,Mumbai,18,431,1.72,0
Dr. Rohit Verma,Dermatology,16,2028-01-19,Govt Health Center,Kolkata,55,308,1.22,0
Dr. Ravi Kumar,Dermatology,11,2028-01-20,City Hospital,Chennai,15,492,1.94,0
Dr. Rohit Verma,Pediatrics,16,2028-01-21,Govt Health Center,New Delhi,77,386,2,0
Dr. Ravi Kumar,Cardiology,10,2028-01-22,Metro Hospital,Mumbai,25,253,1.7,1
Dr. Ravi Kumar,Pediatrics,8,2028-01-23,Govt Health Center,Mumbai,96,444,0.89,0
Dr. Ravi Kumar,Cardiology,12,2028-01-24,Metro Hospital,Kolkata,96,386,0.85,0
Dr. Anil Mehra,Dermatology,17,2028-01-25,City Hospital,Kolkata,38,212,0.88,0
Dr. Rohit Verma,Pediatrics,17,2028-01-26,Govt Health Center,New Delhi,50,154,1.98,1
Dr. Rohit Verma,Dermatology,9,2028-01-27,Govt Health Center,Mumbai,77,227,1,0
Dr. Rohit Verma,Dermatology,11,2028-01-28,Metro Hospital,Chennai,71,240,1.56,1
Dr. Ravi Kumar,Cardiology,9,2028-01-29,Metro Hospital,Chennai,49,173,1.94,1
Dr. Rohit Verma,Pediatrics,9,2028-01-30,City Hospital,Kolkata,71,247,1.73,1
Dr. Rohit Verma,Pediatrics,10,2028-01-31,Metro Hospital,New Delhi,33,148,1.4,1
Dr. Ravi Kumar,Dermatology,12,2028-02-01,City Hospital,Kolkata,15,55,0.75,0
Dr. Swati Desai,Dermatology,11,2028-02-02,Govt Health Center,New Delhi,49,337,0.76,0
Dr. Ravi Kumar,Cardiology,9,2028-02-03,City Hospital,Chennai,79,316,1.24,0
Dr. Rohit Verma,Orthopedics,17,2028-02-04,City Hospital,New Delhi,67,92,1.93,1
Dr. Ravi Kumar,Orthopedics,9,2028-02-05,City Hospital,Chennai,23,344,1.86,0
Dr. Swati Desai,Dermatology,13,2028-02-06,Govt Health Center,New Delhi,87,190,0.75,0
Dr. Ravi Kumar,Orthopedics,14,2028-02-07,Govt Health Center,Kolkata,54,318,0.93,0
Dr. Rohit Verma,Orthopedics,17,2028-02-08,Metro Hospital,Chennai,15,88,1.38,1
Dr. Swati Desai,Orthopedics,13,2028-02-09,City Hospital,Mumbai,32,479,1.22,0
Dr. Anil Mehra,Orthopedics,14,2028-02-10,Govt Health Center,Mumbai,71,211,0.68,0
Dr. Rohit Verma,Dermatology,8,2028-02-11,City Hospital,Chennai,93,244,1.05,1
Dr. Swati Desai,Orthopedics,13,2028-02-12,City Hospital,Mumbai,26,465,1.93,0
Dr. Swati Desai,Orthopedics,10,2028-02-13,City Hospital,Chennai,93,373,1.93,0
Dr. Anil Mehra,Cardiology,8,2028-02-14,Govt Health Center,Kolkata,79,153,1.34,1
Dr. Ravi Kumar,Dermatology,15,2028-02-15,City Hospital,Kolkata,37,294,1.45,1
Dr. Ravi Kumar,Pediatrics,11,2028-02-16,City Hospital,New Delhi,22,114,0.83,0
Dr. Rohit Verma,Pediatrics,17,2028-02-17,Metro Hospital,Mumbai,38,250,1.61,1
Dr. Anil Mehra,Cardiology,15,2028-02-18,City Hospital,Mumbai,54,418,0.58,0
Dr. Ravi Kumar,Cardiology,17,2028-02-19,Metro Hospital,Mumbai,29,291,0.83,0
Dr. Anil Mehra,Dermatology,11,2028-02-20,City Hospital,Chennai,67,56,0.51,0
Dr. Ravi Kumar,Pediatrics,11,2028-02-21,Metro Hospital,Kolkata,90,268,1.08,1
Dr. Swati Desai,Orthopedics,17,2028-02-22,Govt Health Center,Mumbai,63,52,1.78,1
Dr. Ravi Kumar,Cardiology,11,2028-02-23,Govt Health Center,New Delhi,73,391,1.97,0
Dr. Anil Mehra,Pediatrics,13,2028-02-24,City Hospital,Mumbai,61,354,1.5,0
Dr. Swati Desai,Dermatology,16,2028-02-25,Metro Hospital,New Delhi,52,363,1.62,0
Dr. Swati Desai,Orthopedics,12,2028-02-26,Govt Health Center,Mumbai,96,333,0.89,0
Dr. Swati Desai,Dermatology,17,2028-02-27,City Hospital,Mumbai,27,420,1.28,0
Dr. Anil Mehra,Cardiology,15,2028-02-28,City Hospital,Kolkata,93,460,1.6,0
Dr. Rohit Verma,Pediatrics,15,2028-02-29,Metro Hospital,New Delhi,63,71,1.25,1
Dr. Rohit Verma,Pediatrics,11,2028-03-01,Metro Hospital,Mumbai,69,143,0.63,0
Dr. Rohit Verma,Pediatrics,17,2028-03-02,City Hospital,New Delhi,80,406,1.61,0
Dr. Anil Mehra,Pediatrics,16,2028-03-03,Metro Hospital,New Delhi,10,120,0.83,0
Dr. Swati Desai,Orthopedics,16,2028-03-04,Metro Hospital,Kolkata,46,419,0.65,0
Dr. Rohit Verma,Orthopedics,12,2028-03-05,Govt Health Center,Kolkata,58,271,1.22,1
Dr. Anil Mehra,Dermatology,13,2028-03-06,Metro Hospital,New Delhi,44,62,0.61,0
Dr. Rohit Verma,Orthopedics,12,2028-03-07,City Hospital,Kolkata,76,455,1.44,0
Dr. Ravi Kumar,Cardiology,10,2028-03-08,Metro Hospital,Mumbai,44,54,1.46,1
Dr. Rohit Verma,Cardiology,15,2028-03-09,City Hospital,Mumbai,18,71,0.89,0
Dr. Rohit Verma,Pediatrics,16,2028-03-10,City Hospital,Kolkata,46,432,1.95,0
Dr. Swati Desai,Cardiology,11,2028-03-11,Metro Hospital,New Delhi,69,358,1.74,0
Dr. Anil Mehra,Dermatology,16,2028-03-12,Metro Hospital,Mumbai,65,344,0.66,0
Dr. Swati Desai,Orthopedics,16,2028-03-13,Metro Hospital,Chennai,98,86,1.62,1
Dr. Swati Desai,Orthopedics,14,2028-03-14,Govt Health Center,New Delhi,21,80,1.03,1
Dr. Swati Desai,Orthopedics,15,2028-03-15,Govt Health Center,New Delhi,80,111,1.63,1
Dr. Swati Desai,Cardiology,10,2028-03-16,Metro Hospital,Chennai,80,270,1.7,1
Dr. Swati Desai,Orthopedics,12,2028-03-17,City Hospital,Chennai,13,408,0.73,0
Dr. Rohit Verma,Pediatrics,10,2028-03-18,Metro Hospital,New Delhi,70,130,1.49,1
Dr. Swati Desai,Pediatrics,14,2028-03-19,Govt Health Center,Chennai,54,432,1.79,0
Dr. Swati Desai,Pediatrics,13,2028-03-20,Govt Health Center,Kolkata,59,282,0.99,0
Dr. Anil Mehra,Cardiology,10,2028-03-21,Metro Hospital,Kolkata,59,55,0.62,0
Dr. Ravi Kumar,Orthopedics,16,2028-03-22,City Hospital,New Delhi,83,154,0.54,0
Dr. Rohit Verma,Cardiology,8,2028-03-23,City Hospital,Kolkata,57,386,0.67,0
Dr. Rohit Verma,Orthopedics,17,2028-03-24,Govt Health Center,Mumbai,32,211,0.51,0
Dr. Rohit Verma,Dermatology,10,2028-03-25,Govt Health Center,Kolkata,99,392,0.99,0
Dr. Swati Desai,Dermatology,17,2028-03-26,Govt Health Center,Kolkata,96,101,0.95,0
Dr. Swati Desai,Cardiology,14,2028-03-27,City Hospital,Chennai,17,207,0.67,0
